sumlev,state,region,division,name,popestimate2005,popest18plus2005,pcnt_popest18plus
10,0,0,0,UNITED STATES,296410404,222940420,75.2
40,1,3,6,ALABAMA,4557808,3468055,76.1
40,2,4,9,ALASKA,663661,475337,71.6
40,4,4,8,ARIZONA,5939292,4358856,73.4
40,5,3,7,ARKANSAS,2779154,2103532,75.7
40,6,4,9,CALIFORNIA,36132147,26430285,73.1
40,8,4,8,COLORADO,4665177,3484652,74.7
40,9,1,1,CONNECTICUT,3510297,2675291,76.2
40,10,3,5,DELAWARE,843524,647645,76.8
40,11,3,5,DISTRICT OF COLUMBIA,550521,437684,79.5
40,12,3,5,FLORIDA,17789864,13721987,77.1
40,13,3,5,GEORGIA,9072576,6709854,74.0
40,15,4,9,HAWAII,1275194,975342,76.5
40,16,4,8,IDAHO,1429096,1054916,73.8
40,17,2,3,ILLINOIS,12763371,9522332,74.6
40,18,2,3,INDIANA,6271973,4669126,74.4
40,19,2,4,IOWA,2966334,2295533,77.4
40,20,2,4,KANSAS,2744687,2070402,75.4
40,21,3,6,KENTUCKY,4173405,3193245,76.5
40,22,3,7,LOUISIANA,4523628,3375977,74.6
40,23,1,1,MAINE,1321505,1044169,79.0
40,24,3,5,MARYLAND,5600388,4197427,74.9
40,25,1,1,MASSACHUSETTS,6398743,4940707,77.2
40,26,2,3,MICHIGAN,10120860,7596586,75.1
40,27,2,4,MINNESOTA,5132799,3903221,76.0
40,28,3,6,MISSISSIPPI,2921088,2172544,74.4
40,29,2,4,MISSOURI,5800310,4422078,76.2
40,30,4,8,MONTANA,935670,730676,78.1
40,31,2,4,NEBRASKA,1758787,1327158,75.5
40,32,4,8,NEVADA,2414807,1793627,74.3
40,33,1,1,NEW HAMPSHIRE,1309940,1006789,76.9
40,34,1,2,NEW JERSEY,8717925,6556124,75.2
40,35,4,8,NEW MEXICO,1928384,1438902,74.6
40,36,1,2,NEW YORK,19254630,14708746,76.4
40,37,3,5,NORTH CAROLINA,8683242,6542201,75.3
40,38,2,4,NORTH DAKOTA,636677,500159,78.6
40,39,2,3,OHIO,11464042,8704930,75.9
40,40,3,7,OKLAHOMA,3547884,2694548,75.9
40,41,4,9,OREGON,3641056,2791112,76.7
40,42,1,2,PENNSYLVANIA,12429616,9612877,77.3
40,44,1,1,RHODE ISLAND,1076189,830835,77.2
40,45,3,5,SOUTH CAROLINA,4255083,3227881,75.9
40,46,2,4,SOUTH DAKOTA,775933,587663,75.7
40,47,3,6,TENNESSEE,5962959,4572437,76.7
40,48,3,7,TEXAS,22859968,16533683,72.3
40,49,4,8,UTAH,2469585,1727029,69.9
40,50,1,1,VERMONT,623050,490431,78.7
40,51,3,5,VIRGINIA,7567465,5742897,75.9
40,53,4,9,WASHINGTON,6287759,4803394,76.4
40,54,3,5,WEST VIRGINIA,1816856,1434359,78.9
40,55,2,3,WISCONSIN,5536201,4240206,76.6
40,56,4,8,WYOMING,509294,394973,77.6
